,year,state_code,state,abs_gross_drain,abs_gross_gain,abs_net_drain,rel_gross_drain,rel_gross_gain,rel_net_drain,outmigration_rate,abs_stayers,abs_leavers,abs_entrants,rel_stayers,rel_leavers,rel_entrants
363,2010,ID,Idaho,17.09,7.69,9.4,18.6,6.53,12.07,45.72,22.16,39.25,29.85,23.51,42.11,30.04
364,2010,IL,Illinois,6.91,21.75,-14.84,6.21,23.77,-17.56,39.65,32.42,39.33,54.17,29.54,35.75,53.31
365,2010,IN,Indiana,20.23,10.32,9.91,20.55,7.57,12.98,33.99,22.4,42.63,32.72,25.01,45.56,32.58
366,2010,IA,Iowa,17.85,9.58,8.27,14.62,10.32,4.3,40.3,30.26,48.11,39.84,26.12,40.74,36.44
367,2010,KS,Kansas,7.72,10.12,-2.4,7.09,11.77,-4.68,47.32,31.72,39.44,41.84,28.66,35.75,40.43
368,2010,KY,Kentucky,13.71,8.13,5.58,13.22,3.65,9.57,31.7,21.96,35.67,30.09,27.81,41.03,31.46
369,2010,LA,Louisiana,13.08,10.89,2.19,13.19,6.03,7.16,35.66,20.44,33.52,31.33,27.27,40.46,33.3
370,2010,ME,Maine,3.81,11.8,-7.99,0.38,-1.77,2.15,47.22,24.56,28.37,36.36,31.83,32.21,30.06
371,2010,MD,Maryland,17.53,22.9,-5.37,16.63,18.62,-1.99,43.19,25.98,43.51,48.88,24.85,41.48,43.47
372,2010,MA,Massachusetts,9.01,28.78,-19.77,9.25,33.65,-24.4,41.3,40.16,49.17,68.94,28.18,37.43,61.83
373,2010,MI,Michigan,16,11.77,4.23,16.33,11.29,5.04,33.14,26.44,42.44,38.21,26.58,42.91,37.87
374,2010,MN,Minnesota,12.94,14.11,-1.17,10.39,17.34,-6.95,30.33,34.96,47.9,49.07,28.84,39.23,46.18
375,2010,MS,Mississippi,10.73,1.64,9.09,9.76,-1.78,11.54,37.11,20.65,31.38,22.29,28.38,38.14,26.6
376,2010,MO,Missouri,18.63,9.92,8.71,18.27,9.29,8.98,35.67,25.77,44.4,35.69,25.49,43.76,34.78
