subject_id,loc_plot_state1,loc_plot_city1,date_exposure,plot_target1,attack_preparation,op_security,anticp_fatals_targ,extent_plot,violent,criminal_severity,criminal_charges,indict_arrest,group_membership,terrorist_group_name1,actively_recruited,recruiter1,role_group,length_group,clique,clique_radicalize,clique_connect,internet_radicalization,social_media,social_media_frequency,social_media_platform1,social_media_activities1,radicalization_islamist,radicalization_far_right,radicalization_far_left,radicalization_single_issue,ideological_sub_category1,loc_habitation_state1,loc_habitation_city1,external_rad,radical_behaviors,radical_beliefs,us_govt_leader,foreign_govt_leader,event_influence1,radicalization_sequence,prison_radicalize,broad_ethnicity,age,marital_status,children,gender,convert,convert_date,citizenship,residency_status,nativity,time_us_months,immigrant_generation,immigrant_source,language_english,diaspora_ties,education,student,education_change,employment_status,work_history,military,foreign_military,social_stratum_adulthood,abuse_child,abuse_adult,abuse_type1,psychological,alcohol_drug,radical_friend,previous_criminal_activity,previous_criminal_activity_type1,previous_criminal_activity_age,gang,gang_age_joined,other_ideologies,angry_us,group_grievance,year,month
4981,Illinois,Chicago,2/4/97,-88,-88,-88,-88,0,0,5,-88,-88,0,Armed Forces of National Liberation (FALN),0,-88,-88,-88,0,-88,-88,0,-88,-88,-88,-88,0,0,0,1,12,Illinois,,,5,4,0,0,8,1,-88,1,49,1,,2,0,-88,United States of America,1,United States of America,,0,-88,-88,-88,5,0,-88,1,4,0,0,2,0,0,-88,0,0,,0,-88,-88,0,-88,0,1,1,1997,2
4992,Montana,,7/8/92,-88,-88,-88,-88,0,0,,-88,-88,3,Aryan Nations,,,3,,,,,,-88,-88,-88,-88,0,1,0,0,2,Montana,,,5,5,0,0,,,,3,52,,,2,0,-88,United States of America,1,United States of America,,0,-88,-88,-88,,,,,,,0,,0,0,-88,0,0,,,,,0,-88,0,,1,1992,7
4998,Montana,Hamilton,2/16/95,3,,1,,,1,10,2,2,0,-88,,,-88,-88,,,,,-88,-88,-88,-88,0,1,0,0,1,Montana,,,10,4,,,,,,,29,,,2,0,-88,United States of America,1,United States of America,348,0,-88,-88,,,0,-88,,,,0,,0,0,-88,0,0,,,,,0,-88,0,,,1995,2
4999,Montana,Condon,6/27/92,-88,-88,-88,-88,0,1,10,2,4,0,-88,0,-88,-88,-88,0,-88,-88,,-88,-88,-88,-88,0,1,0,0,4,Montana,,,10,5,,,8,1,-88,,53,1,2,2,0,-88,United States of America,1,United States of America,636,0,-88,-88,-88,,0,-88,2,4,,0,1,0,0,-88,1,0,2,2,10,3,0,-88,1,1,1,1992,6
5000,Montana,,3/3/95,14,1,1,1,4,1,8,2,4,3,Montana Freemen,,,2,,,,,,-88,-88,-88,-88,0,1,0,0,4,Montana,,0,10,5,,,,,-88,3,45,,,2,0,-88,United States of America,1,United States of America,,0,,-88,,,,,,,,,,0,0,-88,0,0,,,,,0,-88,0,1,1,1995,3
5001,Montana,Jordan,3/1/95,2,2,,,4,1,10,2,2,3,Montana Freemen,,,2,,,,,1,-88,-88,-88,-88,0,1,0,0,1,Montana,,0,9,5,1,,,1,,3,46,,,2,0,-88,United States of America,1,United States of America,480,0,-88,-88,-88,,0,-88,2,4,,0,2,0,0,-88,0,0,3,,,,0,-88,0,1,0,1995,3
5010,Washington,Spokane,4/27/95,2,1,1,,1,1,7,2,4,3,Aryan Nations,,,1,,0,-88,-88,,-88,-88,-88,-88,0,1,0,0,2,Washington,Spokane,0,10,1,,,,1,-88,3,27,,,2,0,-88,United States of America,1,United States of America,324,0,-88,-88,-88,,,,1,4,0,0,1,0,0,-88,0,0,3,0,-88,-88,0,-88,0,1,3,1995,4
5020,Michigan,,5/1/09,-88,-88,-88,-88,0,0,2,1,4,1,-88,0,-88,3,252,0,-88,-88,0,0,-88,-88,-88,0,0,0,1,15,Michigan,,0,9,5,0,0,0,,,,78,4,2,2,0,-88,United States of America,1,United States of America,936,0,-88,-88,-88,9,0,-88,1,4,3,0,2,0,0,-88,0,1,2,0,-88,-88,0,-88,0,1,,2009,5
5021,District of Columbia,Washington,1/1/85,-88,-88,-88,-88,0,0,2,1,1,1,-88,0,-88,3,1,0,-88,-88,-88,-88,-88,-88,-88,0,0,0,1,15,Texas,,0,5,5,0,0,0,2,-88,3,38,4,4,1,2,1/1/75 0:00,United States of America,1,United States of America,456,0,-88,-88,-88,5,0,-88,2,4,0,0,2,0,0,-88,0,0,,0,-88,-88,0,-88,0,1,1,1985,1
5039,Dominica,,10/6/81,2,2,2,3,3,1,9,2,4,3,Ku Klux Klan,1,3,2,156,1,0,0,-88,-88,-88,-88,-88,0,1,0,0,2,Mississippi,,0,10,5,0,0,,,,3,57,,,2,0,-88,United States of America,1,United States of America,684,0,-88,-88,-88,,0,-88,2,4,,0,2,0,0,-88,0,1,3,,,,0,-88,0,1,1,1981,10
5046,Connecticut,Hartford,9/12/83,1,2,2,,5,1,10,2,4,3,Los Macheteros,1,1,2,36,0,-88,-88,-88,-88,-88,-88,-88,0,0,0,1,12,Connecticut,,0,10,0,1,0,,,,1,25,2,0,2,0,-88,United States of America,1,United States of America,300,0,-88,-88,-88,4,0,-88,1,3,1,0,1,0,0,-88,0,0,,,,,0,-88,0,1,2,1983,9
5048,Nevada,Laughlin,12/15/86,-88,-88,-88,-88,0,0,5,2,4,2,-88,0,-88,2,,,,,-88,-88,-88,-88,-88,0,1,0,0,2,Arizona,,0,7,5,1,0,,1,-88,3,46,,,2,0,-88,United States of America,1,United States of America,552,0,-88,-88,-88,,0,-88,2,4,0,0,2,0,0,-88,0,0,2,0,-88,-88,0,-88,0,1,3,1986,12
